#Normalization-constant  6.46299e+02
#lambda         flux
1.0904728e+00  1.01465e+00
1.0904883e+00  1.02104e+00
1.0905039e+00  1.04702e+00
1.0905194e+00  1.02586e+00
1.0905351e+00  1.03320e+00
1.0905507e+00  1.04575e+00
1.0905662e+00  1.03300e+00
1.0905818e+00  1.02881e+00
1.0905973e+00  1.00897e+00
1.0906129e+00  9.84025e-01
1.0906284e+00  1.01994e+00
1.0906440e+00  1.00111e+00
1.0906595e+00  1.02258e+00
1.0906751e+00  1.02383e+00
1.0906906e+00  9.94409e-01
1.0907062e+00  1.02993e+00
1.0907217e+00  1.02521e+00
1.0907374e+00  1.02680e+00
1.0907529e+00  1.03116e+00
1.0907685e+00  1.03027e+00
1.0907840e+00  1.00975e+00
1.0907996e+00  1.01604e+00
1.0908151e+00  1.03210e+00
1.0908307e+00  1.03673e+00
1.0908463e+00  1.02483e+00
1.0908618e+00  1.01241e+00
1.0908774e+00  1.01658e+00
1.0908929e+00  1.02016e+00
1.0909085e+00  1.01552e+00
1.0909240e+00  1.01508e+00
1.0909397e+00  1.00861e+00
1.0909551e+00  1.02707e+00
1.0909708e+00  1.02531e+00
1.0909863e+00  1.02182e+00
1.0910019e+00  1.03402e+00
1.0910174e+00  1.04206e+00
1.0910330e+00  1.01944e+00
1.0910485e+00  1.02569e+00
1.0910641e+00  1.05477e+00
1.0910796e+00  1.03210e+00
1.0910952e+00  1.00829e+00
1.0911107e+00  1.02047e+00
1.0911263e+00  1.02147e+00
1.0911419e+00  1.02491e+00
1.0911574e+00  1.03667e+00
1.0911731e+00  1.03536e+00
1.0911886e+00  1.05087e+00
1.0912042e+00  1.04186e+00
1.0912197e+00  1.04922e+00
1.0912353e+00  1.03517e+00
1.0912508e+00  1.03476e+00
1.0912664e+00  1.04548e+00
1.0912819e+00  1.03185e+00
1.0912975e+00  1.01497e+00
1.0913130e+00  1.01791e+00
1.0913286e+00  1.01101e+00
1.0913441e+00  1.00281e+00
1.0913597e+00  1.01332e+00
1.0913752e+00  1.01354e+00
1.0913909e+00  1.00932e+00
1.0914064e+00  1.00728e+00
1.0914220e+00  9.98384e-01
1.0914376e+00  9.86180e-01
1.0914531e+00  9.63022e-01
1.0914687e+00  9.63381e-01
1.0914842e+00  9.48970e-01
1.0914998e+00  9.56957e-01
