#Normalization-constant  3.85227e+03
#lambda         flux
1.0908345e+00  9.94001e-01
1.0908500e+00  9.97467e-01
1.0908656e+00  9.91537e-01
1.0908811e+00  9.86513e-01
1.0908968e+00  9.84021e-01
1.0909124e+00  9.90797e-01
1.0909279e+00  9.99472e-01
1.0909435e+00  9.95149e-01
1.0909590e+00  1.00216e+00
1.0909746e+00  9.97973e-01
1.0909902e+00  9.95354e-01
1.0910057e+00  1.00677e+00
1.0910213e+00  9.97029e-01
1.0910368e+00  9.91450e-01
1.0910525e+00  9.90164e-01
1.0910681e+00  9.90057e-01
1.0910836e+00  9.91897e-01
1.0910992e+00  1.00141e+00
1.0911148e+00  1.00023e+00
1.0911303e+00  1.01855e+00
1.0911459e+00  1.01287e+00
1.0911614e+00  1.00779e+00
1.0911770e+00  1.00375e+00
1.0911926e+00  1.00576e+00
1.0912081e+00  1.00127e+00
1.0912238e+00  1.00651e+00
1.0912393e+00  1.00017e+00
1.0912549e+00  1.00443e+00
1.0912705e+00  1.00776e+00
1.0912860e+00  1.01013e+00
1.0913016e+00  1.00846e+00
1.0913171e+00  1.00728e+00
1.0913327e+00  1.00078e+00
1.0913483e+00  9.95451e-01
1.0913638e+00  9.84614e-01
1.0913794e+00  9.81187e-01
1.0913951e+00  9.77692e-01
1.0914106e+00  9.78675e-01
1.0914262e+00  9.80028e-01
1.0914417e+00  9.73001e-01
1.0914573e+00  9.61808e-01
1.0914729e+00  9.51865e-01
1.0914884e+00  9.45863e-01
1.0915040e+00  9.28696e-01
1.0915195e+00  9.22752e-01
1.0915351e+00  9.22149e-01
1.0915507e+00  9.14284e-01
1.0915662e+00  9.19051e-01
1.0915819e+00  9.26838e-01
1.0915974e+00  9.36446e-01
1.0916130e+00  9.37856e-01
1.0916286e+00  9.32852e-01
1.0916441e+00  9.44097e-01
1.0916597e+00  9.45769e-01
1.0916753e+00  9.34898e-01
1.0916908e+00  9.37994e-01
1.0917064e+00  9.35914e-01
1.0917219e+00  9.35271e-01
1.0917375e+00  9.36069e-01
1.0917532e+00  9.40474e-01
1.0917687e+00  9.44354e-01
1.0917843e+00  9.41492e-01
1.0917998e+00  9.36711e-01
1.0918154e+00  9.37107e-01
1.0918310e+00  9.21912e-01
1.0918465e+00  9.17588e-01
1.0918621e+00  9.20688e-01
1.0918776e+00  9.24276e-01
1.0918932e+00  9.24584e-01
1.0919089e+00  9.24985e-01
1.0919243e+00  9.24975e-01
1.0919400e+00  9.31816e-01
1.0919556e+00  9.30531e-01
1.0919711e+00  9.38056e-01
1.0919867e+00  9.43919e-01
1.0920022e+00  9.46989e-01
1.0920178e+00  9.59484e-01
1.0920334e+00  9.59406e-01
1.0920489e+00  9.68572e-01
1.0920645e+00  9.70834e-01
1.0920800e+00  9.83417e-01
1.0920957e+00  9.89298e-01
1.0921113e+00  9.91430e-01
1.0921268e+00  9.93660e-01
1.0921424e+00  9.92189e-01
1.0921579e+00  9.97428e-01
1.0921735e+00  9.95870e-01
1.0921891e+00  9.84673e-01
1.0922046e+00  9.95013e-01
1.0922202e+00  9.96201e-01
1.0922358e+00  9.98187e-01
1.0922513e+00  9.87234e-01
1.0922670e+00  9.80175e-01
1.0922825e+00  9.84527e-01
1.0922981e+00  9.87672e-01
1.0923137e+00  9.88246e-01
1.0923292e+00  9.85481e-01
1.0923448e+00  9.91810e-01
1.0923603e+00  9.97330e-01
1.0923759e+00  1.00385e+00
1.0923915e+00  9.99326e-01
1.0924070e+00  9.96366e-01
1.0924226e+00  9.98528e-01
1.0924381e+00  9.93056e-01
1.0924538e+00  9.95997e-01
1.0924694e+00  9.84897e-01
1.0924849e+00  9.80009e-01
1.0925005e+00  9.82054e-01
1.0925160e+00  9.82628e-01
1.0925316e+00  9.74391e-01
1.0925472e+00  9.71165e-01
1.0925627e+00  9.64784e-01
1.0925783e+00  9.15833e-01
1.0925939e+00  8.85450e-01
1.0926094e+00  9.16165e-01
1.0926251e+00  9.34859e-01
1.0926406e+00  9.34675e-01
1.0926562e+00  9.42460e-01
1.0926718e+00  9.49901e-01
1.0926873e+00  9.44073e-01
1.0927029e+00  9.32943e-01
1.0927184e+00  9.47091e-01
1.0927340e+00  9.46883e-01
1.0927496e+00  9.32348e-01
1.0927651e+00  9.09189e-01
1.0927807e+00  9.18188e-01
1.0927962e+00  9.35380e-01
1.0928119e+00  9.40674e-01
1.0928275e+00  9.28094e-01
1.0928430e+00  9.12480e-01
1.0928586e+00  9.38313e-01
1.0928742e+00  9.48947e-01
1.0928897e+00  9.45045e-01
1.0929053e+00  9.39765e-01
1.0929208e+00  9.30981e-01
1.0929364e+00  9.25563e-01
1.0929521e+00  8.97258e-01
1.0929675e+00  8.94989e-01
1.0929832e+00  9.12847e-01
1.0929987e+00  9.06405e-01
1.0930143e+00  9.02088e-01
1.0930299e+00  9.03648e-01
1.0930454e+00  9.09009e-01
1.0930610e+00  9.14180e-01
1.0930765e+00  9.12797e-01
1.0930921e+00  9.18742e-01
1.0931077e+00  9.21437e-01
1.0931232e+00  9.28211e-01
1.0931389e+00  9.12870e-01
1.0931545e+00  9.08291e-01
1.0931700e+00  9.01965e-01
1.0931856e+00  8.99136e-01
1.0932011e+00  8.93040e-01
1.0932167e+00  9.00710e-01
