#Normalization-constant  1.09519e+02
#lambda         flux
1.1206382e+00  1.02519e+00
1.1206542e+00  1.03820e+00
1.1206702e+00  1.03578e+00
1.1206863e+00  1.02509e+00
1.1207022e+00  1.01706e+00
1.1207183e+00  9.99865e-01
1.1207343e+00  1.00724e+00
1.1207504e+00  1.02369e+00
1.1207664e+00  1.06700e+00
1.1207825e+00  1.03086e+00
1.1207984e+00  1.01577e+00
1.1208145e+00  1.03405e+00
1.1208305e+00  1.02963e+00
1.1208466e+00  1.03069e+00
1.1208626e+00  1.04831e+00
1.1208787e+00  1.05231e+00
1.1208946e+00  1.03446e+00
1.1209107e+00  1.06646e+00
1.1209267e+00  1.03858e+00
1.1209427e+00  1.02179e+00
1.1209588e+00  9.95861e-01
1.1209747e+00  1.01326e+00
1.1209908e+00  1.05313e+00
1.1210068e+00  1.02524e+00
1.1210229e+00  9.71281e-01
1.1210389e+00  9.89359e-01
1.1210550e+00  1.00428e+00
1.1210709e+00  1.02496e+00
1.1210870e+00  9.92726e-01
1.1211030e+00  1.02497e+00
1.1211191e+00  1.02878e+00
1.1211351e+00  1.03298e+00
1.1211512e+00  1.03821e+00
1.1211671e+00  1.01216e+00
1.1211832e+00  1.00294e+00
1.1211992e+00  9.83514e-01
1.1212152e+00  9.99359e-01
1.1212313e+00  9.75960e-01
1.1212473e+00  9.98286e-01
1.1212633e+00  9.76497e-01
1.1212793e+00  9.62026e-01
1.1212954e+00  9.94447e-01
1.1213114e+00  9.94725e-01
1.1213275e+00  1.00570e+00
1.1213435e+00  1.00668e+00
1.1213595e+00  1.01086e+00
1.1213755e+00  9.77326e-01
1.1213916e+00  9.68986e-01
1.1214076e+00  9.08780e-01
1.1214237e+00  9.00825e-01
1.1214397e+00  1.12694e+00
1.1214557e+00  9.91730e-01
1.1214718e+00  9.26834e-01
1.1214878e+00  9.17091e-01
1.1215039e+00  1.01913e+00
1.1215199e+00  1.05860e+00
1.1215360e+00  1.05720e+00
1.1215519e+00  1.03915e+00
1.1215680e+00  1.00504e+00
1.1215840e+00  9.87456e-01
1.1216001e+00  1.01161e+00
1.1216161e+00  9.63163e-01
1.1216322e+00  1.05222e+00
1.1216481e+00  1.04381e+00
1.1216642e+00  1.06278e+00
1.1216802e+00  1.01461e+00
1.1216963e+00  1.05089e+00
1.1217123e+00  9.95279e-01
1.1217282e+00  9.93889e-01
1.1217443e+00  9.67636e-01
1.1217603e+00  1.10749e+00
1.1217764e+00  1.01584e+00
1.1217924e+00  9.85419e-01
1.1218085e+00  9.31644e-01
1.1218244e+00  9.69496e-01
1.1218405e+00  1.00385e+00
1.1218565e+00  9.78760e-01
1.1218726e+00  9.56072e-01
1.1218886e+00  1.05680e+00
1.1219047e+00  9.41297e-01
1.1219206e+00  9.61658e-01
1.1219367e+00  9.24560e-01
1.1219527e+00  9.82539e-01
1.1219688e+00  1.07134e+00
1.1219848e+00  1.03688e+00
1.1220008e+00  1.18118e+00
1.1220168e+00  1.11311e+00
1.1220328e+00  1.21312e+00
1.1220489e+00  1.10188e+00
1.1220649e+00  1.14547e+00
1.1220810e+00  1.06668e+00
1.1220970e+00  9.16533e-01
1.1221130e+00  1.06841e+00
1.1221290e+00  9.68240e-01
1.1221451e+00  1.09735e+00
1.1221611e+00  1.05480e+00
1.1221772e+00  1.05108e+00
1.1221932e+00  1.07612e+00
1.1222093e+00  1.03584e+00
1.1222252e+00  9.89464e-01
1.1222412e+00  1.01784e+00
1.1222573e+00  1.02205e+00
1.1222733e+00  1.04617e+00
1.1222894e+00  1.08514e+00
1.1223053e+00  1.05632e+00
1.1223214e+00  1.09124e+00
1.1223374e+00  1.06473e+00
1.1223535e+00  1.02285e+00
1.1223695e+00  1.03025e+00
1.1223856e+00  9.23254e-01
1.1224015e+00  9.69264e-01
1.1224176e+00  1.06709e+00
1.1224336e+00  1.07150e+00
1.1224497e+00  1.03599e+00
1.1224657e+00  1.27649e+00
1.1224818e+00  1.05286e+00
1.1224977e+00  9.80224e-01
1.1225137e+00  9.88172e-01
1.1225298e+00  1.10493e+00
1.1225458e+00  1.07485e+00
1.1225619e+00  1.02813e+00
1.1225778e+00  9.92285e-01
1.1225939e+00  9.85611e-01
1.1226099e+00  1.02057e+00
1.1226260e+00  1.03288e+00
1.1226420e+00  9.57644e-01
1.1226581e+00  9.64294e-01
1.1226740e+00  9.90163e-01
1.1226901e+00  1.05903e+00
1.1227061e+00  1.03807e+00
1.1227222e+00  9.90369e-01
1.1227382e+00  1.00786e+00
1.1227543e+00  9.83950e-01
1.1227703e+00  9.49616e-01
1.1227862e+00  9.77065e-01
1.1228023e+00  9.61920e-01
1.1228183e+00  9.17173e-01
1.1228344e+00  1.00170e+00
1.1228504e+00  1.13450e+00
1.1228665e+00  8.40453e-01
1.1228824e+00  9.66028e-01
1.1228985e+00  1.07161e+00
1.1229145e+00  1.06018e+00
1.1229306e+00  9.99896e-01
1.1229466e+00  1.02941e+00
1.1229627e+00  9.93939e-01
1.1229786e+00  1.00986e+00
1.1229947e+00  9.77837e-01
1.1230107e+00  9.82181e-01
1.1230268e+00  9.95785e-01
1.1230428e+00  1.01492e+00
1.1230587e+00  9.82075e-01
1.1230748e+00  1.11870e+00
1.1230908e+00  1.00242e+00
1.1231069e+00  1.08669e+00
1.1231229e+00  1.05309e+00
1.1231390e+00  1.05550e+00
1.1231549e+00  9.79310e-01
1.1231710e+00  9.83375e-01
1.1231870e+00  9.79683e-01
1.1232031e+00  1.00185e+00
1.1232191e+00  1.03381e+00
1.1232352e+00  9.92658e-01
1.1232511e+00  1.06173e+00
1.1232672e+00  9.77156e-01
1.1232832e+00  1.00329e+00
1.1232992e+00  9.78377e-01
1.1233153e+00  9.86142e-01
1.1233312e+00  8.97518e-01
1.1233473e+00  9.24544e-01
1.1233633e+00  1.01378e+00
1.1233794e+00  1.04650e+00
1.1233954e+00  1.10487e+00
1.1234115e+00  1.12560e+00
1.1234276e+00  9.25817e-01
1.1234436e+00  1.04565e+00
1.1234596e+00  1.02054e+00
1.1234757e+00  1.09383e+00
1.1234917e+00  1.08128e+00
1.1235078e+00  1.02590e+00
1.1235238e+00  9.91000e-01
1.1235398e+00  1.00920e+00
1.1235558e+00  1.05843e+00
1.1235718e+00  1.01148e+00
1.1235879e+00  9.76436e-01
1.1236039e+00  1.04942e+00
1.1236200e+00  1.03707e+00
1.1236359e+00  1.00082e+00
1.1236520e+00  8.93540e-01
1.1236680e+00  8.03162e-01
1.1236841e+00  7.76390e-01
1.1237001e+00  9.42177e-01
1.1237162e+00  1.05187e+00
1.1237321e+00  1.01185e+00
1.1237482e+00  1.03600e+00
1.1237642e+00  1.05312e+00
1.1237803e+00  9.14935e-01
1.1237963e+00  9.71126e-01
1.1238122e+00  1.10534e+00
1.1238283e+00  1.13775e+00
1.1238443e+00  7.54551e-01
1.1238604e+00  4.17090e-01
1.1238764e+00  8.36972e-01
1.1238925e+00  1.11047e+00
1.1239084e+00  8.82928e-01
1.1239245e+00  1.11157e+00
1.1239405e+00  1.28189e+00
1.1239566e+00  9.95414e-01
1.1239726e+00  1.00509e+00
1.1239887e+00  9.03862e-01
1.1240046e+00  1.06768e+00
1.1240207e+00  1.16016e+00
1.1240367e+00  1.08390e+00
1.1240528e+00  1.10949e+00
1.1240688e+00  1.20384e+00
1.1240848e+00  1.02694e+00
1.1241008e+00  1.09499e+00
1.1241168e+00  1.06560e+00
1.1241329e+00  1.05159e+00
1.1241489e+00  1.00626e+00
1.1241650e+00  1.08520e+00
1.1241810e+00  1.02850e+00
1.1241970e+00  9.69557e-01
1.1242130e+00  9.59165e-01
1.1242291e+00  9.16745e-01
1.1242451e+00  1.00133e+00
1.1242612e+00  9.69034e-01
1.1242772e+00  1.08230e+00
1.1242932e+00  1.00633e+00
1.1243092e+00  9.54644e-01
1.1243253e+00  1.03960e+00
1.1243413e+00  9.53697e-01
1.1243573e+00  1.00854e+00
1.1243734e+00  9.74043e-01
1.1243893e+00  9.55622e-01
1.1244054e+00  1.03052e+00
1.1244214e+00  9.85725e-01
1.1244375e+00  1.00318e+00
1.1244535e+00  1.06327e+00
1.1244696e+00  1.13180e+00
1.1244855e+00  1.00811e+00
1.1245016e+00  9.99278e-01
1.1245176e+00  1.04910e+00
1.1245337e+00  9.63144e-01
1.1245497e+00  8.63900e-01
1.1245658e+00  9.09288e-01
1.1245817e+00  9.18953e-01
1.1245978e+00  9.17862e-01
1.1246138e+00  1.03422e+00
1.1246298e+00  1.07573e+00
1.1246459e+00  9.81559e-01
1.1246618e+00  9.93863e-01
1.1246779e+00  9.90348e-01
1.1246939e+00  9.58521e-01
1.1247100e+00  1.01782e+00
1.1247260e+00  9.59364e-01
1.1247421e+00  1.10459e+00
1.1247580e+00  9.90063e-01
1.1247741e+00  9.83198e-01
1.1247901e+00  1.07894e+00
1.1248062e+00  1.04212e+00
1.1248222e+00  1.06857e+00
1.1248383e+00  1.03321e+00
1.1248542e+00  1.01182e+00
1.1248702e+00  8.61631e-01
1.1248863e+00  1.01918e+00
1.1249023e+00  9.00495e-01
1.1249184e+00  1.07196e+00
1.1249344e+00  1.10566e+00
1.1249505e+00  1.04955e+00
1.1249664e+00  9.11446e-01
1.1249825e+00  9.91105e-01
1.1249985e+00  9.63071e-01
1.1250146e+00  9.93455e-01
1.1250306e+00  1.14992e+00
1.1250467e+00  1.18095e+00
1.1250626e+00  1.16141e+00
1.1250787e+00  1.16594e+00
1.1250947e+00  1.07303e+00
1.1251108e+00  1.02569e+00
1.1251268e+00  1.03292e+00
1.1251427e+00  1.03221e+00
1.1251588e+00  9.97841e-01
1.1251748e+00  9.18637e-01
1.1251909e+00  1.01471e+00
1.1252069e+00  9.55174e-01
1.1252230e+00  1.03787e+00
1.1252389e+00  1.15221e+00
1.1252550e+00  1.11816e+00
1.1252710e+00  1.08512e+00
1.1252871e+00  9.18393e-01
1.1253031e+00  9.23236e-01
1.1253192e+00  8.45221e-01
1.1253351e+00  1.03574e+00
1.1253512e+00  8.71720e-01
1.1253672e+00  8.89569e-01
1.1253833e+00  9.92687e-01
1.1253994e+00  8.50891e-01
1.1254153e+00  9.56354e-01
1.1254314e+00  5.24890e-01
1.1254474e+00  7.46318e-01
1.1254635e+00  1.26463e+00
1.1254795e+00  1.36154e+00
1.1254956e+00  1.29843e+00
