#Normalization-constant  6.60334e+02
#lambda         flux
1.0764761e+00  1.00221e+00
1.0764915e+00  1.04110e+00
1.0765069e+00  1.03653e+00
1.0765223e+00  1.03035e+00
1.0765376e+00  1.02001e+00
1.0765530e+00  1.04363e+00
1.0765683e+00  1.05377e+00
1.0765836e+00  1.03026e+00
1.0765990e+00  1.04909e+00
1.0766144e+00  1.03744e+00
1.0766297e+00  1.01748e+00
1.0766450e+00  1.05580e+00
1.0766604e+00  1.05350e+00
1.0766758e+00  1.05331e+00
1.0766912e+00  1.01848e+00
1.0767064e+00  1.03406e+00
1.0767218e+00  1.01796e+00
1.0767372e+00  1.04756e+00
1.0767526e+00  1.02618e+00
1.0767678e+00  1.02331e+00
1.0767832e+00  1.01712e+00
1.0767986e+00  1.00388e+00
1.0768140e+00  1.04264e+00
1.0768292e+00  1.08266e+00
1.0768446e+00  1.06487e+00
1.0768600e+00  1.04268e+00
1.0768754e+00  1.02742e+00
1.0768906e+00  1.02844e+00
1.0769060e+00  1.06829e+00
1.0769214e+00  1.03143e+00
1.0769367e+00  1.01449e+00
1.0769521e+00  1.03772e+00
1.0769674e+00  1.02535e+00
1.0769828e+00  1.02591e+00
1.0769981e+00  1.05786e+00
1.0770135e+00  1.03596e+00
1.0770288e+00  1.05803e+00
1.0770442e+00  1.06186e+00
1.0770595e+00  1.03100e+00
1.0770749e+00  1.02783e+00
1.0770902e+00  1.01165e+00
1.0771055e+00  1.02572e+00
1.0771209e+00  1.04733e+00
1.0771363e+00  1.03517e+00
1.0771516e+00  1.04879e+00
1.0771669e+00  1.05142e+00
1.0771823e+00  1.04259e+00
1.0771977e+00  1.05929e+00
1.0772131e+00  1.02948e+00
1.0772283e+00  1.04072e+00
1.0772437e+00  1.03517e+00
1.0772591e+00  1.00873e+00
1.0772745e+00  1.02474e+00
1.0772897e+00  1.00446e+00
1.0773051e+00  1.01498e+00
1.0773205e+00  1.02808e+00
1.0773359e+00  1.04236e+00
1.0773511e+00  1.02817e+00
1.0773665e+00  1.01839e+00
1.0773819e+00  1.00184e+00
1.0773973e+00  1.03449e+00
1.0774125e+00  1.02079e+00
1.0774279e+00  1.04451e+00
1.0774433e+00  1.03400e+00
1.0774586e+00  1.04771e+00
1.0774740e+00  1.04709e+00
1.0774893e+00  1.02540e+00
1.0775047e+00  9.67234e-01
1.0775200e+00  9.24301e-01
1.0775354e+00  9.93273e-01
1.0775507e+00  1.00337e+00
1.0775661e+00  1.00137e+00
1.0775814e+00  1.01130e+00
1.0775968e+00  9.83041e-01
1.0776121e+00  1.02070e+00
1.0776274e+00  9.92750e-01
1.0776428e+00  9.76830e-01
1.0776582e+00  9.90877e-01
1.0776735e+00  1.04656e+00
1.0776888e+00  1.04237e+00
1.0777042e+00  1.01959e+00
1.0777196e+00  1.01383e+00
1.0777350e+00  1.00534e+00
1.0777502e+00  1.02150e+00
1.0777656e+00  1.01118e+00
1.0777810e+00  1.02450e+00
1.0777964e+00  1.02489e+00
1.0778116e+00  9.99683e-01
1.0778270e+00  9.99239e-01
1.0778424e+00  1.02364e+00
1.0778578e+00  1.00000e+00
1.0778730e+00  1.01292e+00
1.0778884e+00  9.80241e-01
1.0779038e+00  9.81629e-01
1.0779192e+00  9.88451e-01
1.0779344e+00  9.87011e-01
1.0779498e+00  1.01480e+00
1.0779652e+00  1.03336e+00
1.0779805e+00  1.02911e+00
1.0779959e+00  1.05561e+00
1.0780112e+00  1.03727e+00
1.0780266e+00  1.07789e+00
1.0780419e+00  1.04680e+00
1.0780573e+00  1.04839e+00
1.0780726e+00  1.04458e+00
1.0780880e+00  1.03938e+00
1.0781033e+00  1.01084e+00
1.0781187e+00  1.02485e+00
1.0781340e+00  1.01620e+00
1.0781493e+00  1.02949e+00
1.0781647e+00  1.02969e+00
