#Normalization-constant  5.11493e+02
#lambda         flux
1.1075099e+00  9.90200e-01
1.1075258e+00  1.00272e+00
1.1075415e+00  9.88582e-01
1.1075573e+00  1.00692e+00
1.1075730e+00  1.06391e+00
1.1075887e+00  1.04843e+00
1.1076046e+00  1.03457e+00
1.1076203e+00  1.02037e+00
1.1076361e+00  1.01534e+00
1.1076518e+00  1.00909e+00
1.1076675e+00  9.87279e-01
1.1076834e+00  1.01240e+00
1.1076991e+00  1.03090e+00
1.1077149e+00  1.03359e+00
1.1077306e+00  1.02786e+00
1.1077465e+00  1.00982e+00
1.1077622e+00  9.96879e-01
1.1077779e+00  1.02039e+00
1.1077937e+00  1.03586e+00
1.1078094e+00  1.01875e+00
1.1078253e+00  9.98702e-01
1.1078410e+00  9.84750e-01
1.1078567e+00  9.97606e-01
1.1078725e+00  9.95567e-01
1.1078882e+00  9.67789e-01
1.1079041e+00  9.79021e-01
1.1079198e+00  9.66040e-01
1.1079355e+00  9.46498e-01
1.1079513e+00  9.41338e-01
1.1079670e+00  9.54564e-01
1.1079828e+00  9.83209e-01
1.1079986e+00  9.54329e-01
1.1080143e+00  9.55092e-01
1.1080301e+00  9.60390e-01
1.1080458e+00  9.65244e-01
1.1080616e+00  9.21705e-01
1.1080774e+00  9.27725e-01
1.1080931e+00  9.68949e-01
1.1081089e+00  9.80925e-01
1.1081246e+00  9.20389e-01
1.1081404e+00  9.35275e-01
1.1081562e+00  9.64873e-01
1.1081719e+00  9.33743e-01
1.1081877e+00  9.44390e-01
1.1082034e+00  9.50084e-01
1.1082192e+00  9.89684e-01
1.1082350e+00  9.97827e-01
1.1082507e+00  9.67488e-01
1.1082664e+00  9.46369e-01
1.1082822e+00  9.79003e-01
1.1082980e+00  1.01282e+00
1.1083138e+00  9.74839e-01
1.1083295e+00  9.52856e-01
1.1083452e+00  9.78959e-01
1.1083611e+00  9.93686e-01
1.1083768e+00  9.72271e-01
1.1083926e+00  9.84144e-01
1.1084083e+00  9.97506e-01
1.1084240e+00  1.00732e+00
1.1084399e+00  1.01653e+00
1.1084556e+00  1.02569e+00
1.1084714e+00  1.02736e+00
1.1084871e+00  1.00465e+00
1.1085028e+00  1.02750e+00
1.1085187e+00  1.05207e+00
1.1085344e+00  1.03569e+00
1.1085502e+00  1.01766e+00
1.1085659e+00  1.04567e+00
1.1085816e+00  1.02284e+00
1.1085975e+00  9.87647e-01
1.1086132e+00  9.91117e-01
1.1086290e+00  1.00372e+00
1.1086447e+00  1.01952e+00
1.1086604e+00  1.01590e+00
1.1086763e+00  9.99825e-01
1.1086920e+00  1.02407e+00
1.1087078e+00  1.03697e+00
1.1087235e+00  1.04397e+00
1.1087392e+00  1.06743e+00
1.1087551e+00  1.02660e+00
1.1087708e+00  1.03992e+00
1.1087866e+00  1.03050e+00
1.1088023e+00  1.02412e+00
1.1088180e+00  1.01565e+00
1.1088339e+00  9.88776e-01
1.1088496e+00  9.86328e-01
1.1088654e+00  1.01906e+00
1.1088811e+00  1.01257e+00
1.1088968e+00  1.00366e+00
1.1089127e+00  1.01574e+00
1.1089284e+00  1.00881e+00
1.1089442e+00  9.94424e-01
1.1089599e+00  1.00571e+00
1.1089756e+00  1.03400e+00
1.1089915e+00  1.02306e+00
1.1090072e+00  1.01040e+00
1.1090229e+00  9.96825e-01
1.1090387e+00  9.90344e-01
1.1090544e+00  1.00076e+00
1.1090703e+00  9.93526e-01
1.1090860e+00  9.83389e-01
1.1091017e+00  9.85545e-01
1.1091175e+00  9.58856e-01
1.1091333e+00  9.31896e-01
1.1091491e+00  9.33040e-01
1.1091648e+00  9.89227e-01
1.1091805e+00  9.40557e-01
1.1091963e+00  9.73541e-01
1.1092121e+00  9.77318e-01
1.1092280e+00  9.93088e-01
